image_id,face_length,face_width,forehead_width,cheekbone_width,jaw_width,aspect_ratio,hair_length,hair_texture,hair_density,style_preference,face_shape_label,target_hairstyle_id,suitability_rating
img_00174,198.3,172.9,154.0,172.9,141.9,1.15,Long,Wavy,Medium,unisex,Round,buzz-cut,4.5
img_00175,263.4,165.7,142.3,165.7,127.0,1.59,Short,Straight,Medium,unisex,Oblong,wolf-cut,4.4
img_00176,291.0,198.5,169.3,198.5,168.3,1.47,Long,Wavy,Medium,feminine,Oblong,long-waves,4.2
img_00177,213.1,194.8,166.0,194.8,170.3,1.09,Medium,Coily,Medium,masculine,Round,textured-crop,4.2
img_00178,284.5,186.7,154.5,186.7,143.0,1.52,Medium,Curly,Medium,masculine,Oblong,textured-crop,4.4
img_00179,291.2,191.3,164.3,191.3,160.3,1.52,Short,Wavy,Medium,feminine,Oblong,buzz-cut,4.7
img_00180,214.1,190.5,167.7,190.5,164.9,1.12,Medium,Wavy,Medium,unisex,Round,textured-crop,4.3
img_00181,234.0,174.7,150.5,174.7,133.3,1.34,Short,Straight,Medium,masculine,Oval,textured-crop,4.4
img_00182,191.2,183.5,164.2,183.5,157.9,1.04,Short,Curly,Medium,masculine,Round,long-waves,5.0
img_00183,183.3,179.2,156.6,179.2,148.8,1.02,Medium,Coily,Medium,masculine,Round,buzz-cut,4.5
img_00184,227.5,190.6,183.6,190.6,186.3,1.19,Short,Straight,Medium,unisex,Square,curtain-bangs,4.0
img_00185,286.8,195.9,171.3,195.9,148.1,1.46,Short,Straight,Medium,feminine,Oblong,curtain-bangs,4.1
img_00186,279.7,184.7,157.7,184.7,155.7,1.51,Long,Coily,Medium,no_preference,Oblong,long-waves,4.6
img_00187,201.9,176.0,159.7,176.0,148.2,1.15,Long,Curly,Medium,no_preference,Round,long-waves,4.8
img_00188,242.2,182.7,160.4,182.7,140.5,1.33,Long,Wavy,Medium,masculine,Oval,buzz-cut,4.0
img_00189,167.8,164.5,147.2,164.5,138.4,1.02,Short,Wavy,Medium,masculine,Round,long-waves,4.2
img_00190,269.1,193.6,162.9,193.6,146.0,1.39,Short,Coily,Medium,feminine,Oval,curtain-bangs,4.9
img_00191,215.4,192.4,165.5,192.4,160.4,1.12,Short,Curly,Medium,masculine,Round,curtain-bangs,4.9
img_00192,220.9,168.7,138.5,168.7,131.3,1.31,Long,Coily,Medium,unisex,Oval,long-waves,4.3
img_00193,277.4,183.8,161.5,183.8,140.3,1.51,Short,Wavy,Medium,unisex,Oblong,long-waves,4.4
img_00194,262.6,187.7,155.4,187.7,140.1,1.4,Medium,Wavy,Medium,feminine,Oval,wolf-cut,4.1
img_00195,284.8,195.8,161.7,195.8,151.3,1.45,Short,Curly,Medium,no_preference,Oblong,wolf-cut,4.5
img_00196,192.2,186.8,167.1,186.8,153.5,1.03,Medium,Curly,Medium,feminine,Round,buzz-cut,4.3
img_00197,182.3,167.6,158.0,167.6,157.9,1.09,Long,Wavy,Medium,unisex,Square,french-bob,4.3
img_00198,220.0,163.6,165.8,163.6,110.5,1.35,Long,Coily,Medium,feminine,Heart,french-bob,4.4
img_00199,227.2,173.9,179.0,173.9,120.5,1.31,Short,Curly,Medium,no_preference,Heart,curtain-bangs,4.2
img_00200,295.3,189.5,155.3,189.5,154.8,1.56,Medium,Wavy,Medium,feminine,Oblong,textured-crop,4.6
img_00201,251.0,191.3,182.4,191.3,120.6,1.31,Medium,Straight,Medium,feminine,Heart,textured-crop,4.1
img_00202,195.2,169.6,164.4,169.6,158.8,1.15,Medium,Coily,Medium,feminine,Square,french-bob,4.9
img_00203,212.1,183.0,172.6,183.0,173.8,1.16,Short,Wavy,Medium,feminine,Square,long-waves,4.6
img_00204,219.0,194.7,176.3,194.7,160.5,1.12,Short,Curly,Medium,masculine,Round,curtain-bangs,4.2
img_00205,193.3,168.9,150.4,168.9,147.8,1.14,Medium,Straight,Medium,masculine,Round,french-bob,4.3
img_00206,253.6,184.3,153.0,184.3,141.9,1.38,Short,Wavy,Medium,masculine,Oval,wolf-cut,4.4
img_00207,232.6,161.0,141.2,161.0,129.6,1.44,Short,Curly,Medium,feminine,Oblong,buzz-cut,4.4
img_00208,236.8,194.1,184.7,194.1,128.1,1.22,Long,Curly,Medium,unisex,Heart,curtain-bangs,4.6
img_00209,183.3,178.4,164.1,178.4,143.5,1.03,Long,Straight,Medium,unisex,Round,curtain-bangs,4.2
img_00210,243.1,164.9,133.2,164.9,135.1,1.47,Short,Coily,Medium,no_preference,Oblong,textured-crop,4.2
img_00211,224.1,172.3,172.7,172.3,110.7,1.3,Long,Straight,Medium,no_preference,Heart,french-bob,4.7
img_00212,198.8,174.7,169.4,174.7,168.4,1.14,Medium,Straight,Medium,feminine,Square,long-waves,4.1
img_00213,235.8,160.8,138.4,160.8,122.8,1.47,Long,Straight,Medium,masculine,Oblong,wolf-cut,4.0
img_00214,193.7,185.2,158.2,185.2,148.8,1.05,Short,Curly,Medium,masculine,Round,buzz-cut,4.6
img_00215,278.6,193.8,162.6,193.8,148.2,1.44,Medium,Coily,Medium,unisex,Oblong,textured-crop,4.6
img_00216,278.5,178.4,155.4,178.4,150.8,1.56,Short,Coily,Medium,masculine,Oblong,textured-crop,4.7
img_00217,204.9,163.1,170.1,163.1,102.0,1.26,Short,Coily,Medium,unisex,Heart,long-waves,4.4
img_00218,241.2,184.6,157.1,184.6,138.2,1.31,Short,Curly,Medium,masculine,Oval,wolf-cut,4.0
img_00219,222.2,186.4,172.6,186.4,171.9,1.19,Short,Coily,Medium,feminine,Square,french-bob,5.0
img_00220,249.4,191.0,185.0,191.0,117.9,1.31,Short,Straight,Medium,feminine,Heart,french-bob,4.8
img_00221,165.8,160.8,147.6,160.8,132.5,1.03,Short,Straight,Medium,feminine,Round,long-waves,4.0
img_00222,243.8,184.6,187.3,184.6,120.5,1.32,Medium,Curly,Medium,feminine,Heart,long-waves,4.8
img_00223,221.0,179.0,178.7,179.0,123.9,1.23,Medium,Curly,Medium,feminine,Heart,textured-crop,4.9
img_00224,234.9,174.9,148.0,174.9,135.8,1.34,Medium,Coily,Medium,feminine,Oval,buzz-cut,4.1
img_00225,228.8,195.5,183.2,195.5,189.4,1.17,Long,Curly,Medium,masculine,Square,buzz-cut,4.9
img_00226,194.5,185.4,170.3,185.4,159.5,1.05,Medium,Curly,Medium,unisex,Round,buzz-cut,4.1
img_00227,197.3,170.8,164.6,170.8,158.2,1.16,Short,Curly,Medium,no_preference,Square,curtain-bangs,5.0
img_00228,187.3,166.0,156.9,166.0,160.3,1.13,Short,Coily,Medium,unisex,Square,french-bob,4.6
img_00229,249.5,163.8,142.5,163.8,129.9,1.52,Medium,Wavy,Medium,no_preference,Oblong,textured-crop,4.7
img_00230,218.4,199.7,188.5,199.7,193.3,1.09,Long,Straight,Medium,feminine,Square,wolf-cut,4.7
img_00231,189.3,167.5,162.0,167.5,159.7,1.13,Medium,Wavy,Medium,feminine,Square,long-waves,4.0
img_00232,220.6,160.4,138.9,160.4,125.3,1.37,Long,Curly,Medium,unisex,Oval,french-bob,4.9
img_00233,245.7,165.0,140.5,165.0,136.6,1.49,Medium,Curly,Medium,feminine,Oblong,wolf-cut,4.7
